year,county,pct_fair_poor_health,pct_smokers,pct_obesity,food_env_index,pct_excess_drinking,pct_uninsured,prim_care_phys_rate,mental_health_prov_rate,preventable_rate,pct_children_poverty,avg_daily_pm25,pct_severe_hous_prob,severe_hous_cost_burden,pct_overcrowding,pct_freq_ment_distress,pct_freq_phys_distress,pct_diabetes,pct_food_insecure,pct_limit_access_health_food,pct_drug_overdose_mortality,median_hh_income,pct_hs_complete,pct_some_college,pct_unemployed,pct_single_parent_hous,pct_under18,pct_over65,pct_nh_black,pct_ai_an,pct_asian,pct_nh_opi,pct_hispanic,pct_nh_white,pct_female,pct_rural
2021,Merced,28,16,33,7.2,17,9,45,189,5004.0,23,12.0,25,17,9,15,17,13,15,7,14.0,59733,69.0,49,8.1,26,29.3,11.4,2.9,2.5,7.8,0.4,61.0,26.5,49.5,14.3
2021,Modoc,21,19,26,6.9,21,9,68,339,3327.0,31,5.6,17,15,3,16,15,12,15,12,0.0,45311,85.0,51,7.1,32,19.4,27.5,1.1,5.1,1.2,0.4,14.6,77.2,49.7,70.0
2021,Mono,16,14,29,7.8,23,10,70,201,2297.0,12,5.5,11,10,2,13,12,11,9,15,0.0,66226,89.0,60,3.7,16,17.8,16.1,0.7,2.9,2.6,0.4,26.8,65.8,47.0,45.8
2021,Monterey,24,14,25,8.4,19,12,63,383,3162.0,18,6.7,29,18,13,14,14,9,11,3,12.0,76509,72.0,47,6.2,20,26.0,14.0,2.5,2.6,6.7,0.6,59.4,29.4,49.1,9.8
2021,Napa,16,12,24,9.1,23,8,95,577,2795.0,8,8.6,22,16,6,12,11,10,8,2,11.0,90230,86.0,65,2.8,21,20.2,19.7,2.1,1.3,8.9,0.4,34.6,51.8,50.2,13.4
2021,Nevada,14,14,18,8.1,25,7,70,858,2285.0,14,6.3,21,18,2,13,12,6,11,7,16.0,69550,94.0,74,3.3,20,17.0,28.4,0.5,1.3,1.5,0.2,9.8,84.7,50.9,42.1
2021,Orange,17,11,20,9.1,19,8,99,291,2832.0,13,9.4,27,20,9,12,12,9,9,1,13.0,95761,85.0,70,2.8,18,21.7,15.3,1.7,1.0,21.7,0.4,34.0,39.8,50.7,0.1
2021,Placer,13,12,20,8.9,24,5,123,314,1991.0,8,7.2,18,16,2,12,11,7,8,3,13.0,97688,95.0,79,3.1,15,22.1,19.9,1.7,1.1,8.2,0.3,14.4,71.5,51.2,13.8
2021,Plumas,15,16,24,7.9,24,7,80,298,3911.0,19,14.0,18,17,1,14,12,7,14,2,20.0,59376,95.0,72,7.7,26,17.4,28.9,1.0,3.2,1.1,0.2,9.3,83.1,50.2,74.0
2021,Riverside,20,14,28,8.2,18,9,43,217,3564.0,14,14.1,25,20,7,14,13,10,10,7,18.0,72905,82.0,56,4.2,22,24.9,14.8,6.2,1.9,7.2,0.4,50.0,34.1,50.1,4.6
2021,Sacramento,18,14,30,8.1,20,6,87,386,3603.0,16,8.7,22,18,5,13,13,9,12,4,17.0,71891,88.0,67,3.7,26,23.4,14.5,9.8,1.5,17.0,1.3,23.6,43.8,51.1,2.1
